"","act","fru","app","attfoc","attshi","attcon","dis","sth","fea","hip","imp","inh","lip","per","sad","shy","smi"
"vm001",3.92307692307692,5,4.53846153846154,3.375,3,3.23076923076923,4.08333333333333,4.38461538461539,4.5,4.53846153846154,3.53846153846154,3.84615384615385,4.30769230769231,4.58333333333333,3.25,4.07692307692308,3.83333333333333
"vm002",4.53846153846154,4.38461538461539,5,4.44444444444444,3.8,4.21428571428571,5.08333333333333,4.25,3.54545454545455,4.08333333333333,4.07692307692308,4.23076923076923,3.38461538461538,4.33333333333333,4.27272727272727,3.84615384615385,4.46153846153846
"vm003",2.69230769230769,4.41666666666667,4.53846153846154,5.5,2.8,4.46153846153846,4.58333333333333,3.69230769230769,4.25,5,3.84615384615385,4.61538461538461,4.61538461538461,4.33333333333333,5,4.38461538461539,3.33333333333333
"vm004",4.23076923076923,3,5.07692307692308,3.66666666666667,4,3.78571428571429,3.33333333333333,4.23076923076923,4.08333333333333,3.69230769230769,3.15384615384615,4.84615384615385,5.23076923076923,4.90909090909091,3.5,4.07692307692308,3.07692307692308
"vm005",3.23076923076923,2.92307692307692,5.07692307692308,3.77777777777778,3.6,3.71428571428571,3.66666666666667,4.46153846153846,3.66666666666667,4.46153846153846,3.23076923076923,4.76923076923077,4.46153846153846,5.27272727272727,2.66666666666667,3.53846153846154,4.15384615384615
"vm006",3.92307692307692,5.38461538461539,4.92307692307692,4.33333333333333,5.4,4.71428571428571,4.25,5,4.75,5.30769230769231,4.38461538461539,4.46153846153846,4.83333333333333,4.16666666666667,4.16666666666667,4,4.69230769230769
"vm007",3.16666666666667,3.61538461538462,5.30769230769231,3.88888888888889,3.4,3.71428571428571,3.41666666666667,4,3.66666666666667,4.38461538461539,4.23076923076923,4.46153846153846,4.61538461538461,4.08333333333333,3.16666666666667,4.07692307692308,4.58333333333333
"vm008",3.91666666666667,4.25,4.76923076923077,4.25,4,4.15384615384615,4.33333333333333,4.69230769230769,4.58333333333333,4.76923076923077,4.69230769230769,4.76923076923077,5,4.5,4.16666666666667,4.38461538461539,4.61538461538461
"vm009",4.23076923076923,5,5.53846153846154,4.55555555555556,5,4.71428571428571,4.25,4.69230769230769,3.33333333333333,4.46153846153846,4.38461538461539,4.92307692307692,4.46153846153846,4.08333333333333,4.83333333333333,4.61538461538461,4.15384615384615
"vm010",3.66666666666667,4.38461538461539,5.63636363636364,4.44444444444444,4.8,4.57142857142857,3.54545454545455,4.09090909090909,3.09090909090909,3.84615384615385,4,4.16666666666667,4.69230769230769,5.63636363636364,4.09090909090909,4.30769230769231,3.58333333333333
"vm011",3.15384615384615,3.76923076923077,4.69230769230769,4.44444444444444,3.6,4.14285714285714,3.66666666666667,4.30769230769231,3.91666666666667,4.38461538461539,3.84615384615385,4.61538461538461,4.76923076923077,4.16666666666667,4.16666666666667,4.30769230769231,4.23076923076923
"vm012",2.61538461538462,5.09090909090909,4.30769230769231,4,3.6,3.84615384615385,4.75,3.84615384615385,3,5.23076923076923,3.81818181818182,4.30769230769231,4.84615384615385,3.8,4.16666666666667,5.33333333333333,3.72727272727273
"vm013",4.30769230769231,4.84615384615385,5.23076923076923,3.66666666666667,4.8,4.07142857142857,4,4.61538461538461,2.91666666666667,4.38461538461539,4.84615384615385,4.15384615384615,5,5.33333333333333,4,4.23076923076923,4.69230769230769
"vm014",4.46153846153846,4.92307692307692,5.38461538461539,4.66666666666667,5.2,4.85714285714286,4.5,4.76923076923077,4.25,5.46153846153846,5.07692307692308,5.53846153846154,4.69230769230769,4.5,4.91666666666667,3.84615384615385,4.38461538461539
"vm015",3.66666666666667,4.46153846153846,5.38461538461539,5,4.4,4.78571428571429,3.91666666666667,4.07692307692308,4.33333333333333,4.15384615384615,4.15384615384615,4.61538461538461,4.92307692307692,4.66666666666667,5.33333333333333,5.30769230769231,3.76923076923077
"vm016",4.23076923076923,4.84615384615385,5.38461538461539,5.33333333333333,5,5.21428571428571,4.16666666666667,4.53846153846154,4,3.30769230769231,4.38461538461539,4.61538461538461,4.84615384615385,4.41666666666667,4.33333333333333,4.38461538461539,4.07692307692308
"vm017",4.38461538461539,5,5.61538461538461,4,4,4,3.5,4.84615384615385,4.25,4.53846153846154,4.07692307692308,4.30769230769231,4.69230769230769,4.41666666666667,3.83333333333333,3.25,4.53846153846154
"vm018",4,3.84615384615385,4.84615384615385,4,3.6,3.85714285714286,4.63636363636364,3.69230769230769,4.91666666666667,4.08333333333333,3.69230769230769,3.69230769230769,4.46153846153846,4.75,4.41666666666667,3.69230769230769,4.46153846153846
"vm019",3.1,4.18181818181818,4.09090909090909,5.16666666666667,2.2,3.81818181818182,3.18181818181818,4.36363636363636,4.41666666666667,4.92307692307692,4.2,3.83333333333333,4.16666666666667,4.44444444444444,3.6,4.7,3.25
"vm020",3.76923076923077,4.53846153846154,5.07692307692308,4.11111111111111,5,4.42857142857143,3.83333333333333,3.91666666666667,4.41666666666667,4.53846153846154,4,4,4.69230769230769,4.58333333333333,4.5,3.41666666666667,3.61538461538462
"vm021",3.53846153846154,4.58333333333333,4.30769230769231,4.125,4,4.07692307692308,4.58333333333333,5.69230769230769,4.08333333333333,5.23076923076923,3.38461538461538,4.23076923076923,3.61538461538462,4.66666666666667,4.33333333333333,5.07692307692308,2.83333333333333
