"","CE","AN","SURG"
"vm001",3.72382478632479,4.24358974358974,4.07478632478632
"vm002",4.06790801790802,4.30722610722611,4.33440170940171
"vm003",4.38760683760684,4.38846153846154,3.96581196581197
"vm004",4.40639915639916,3.62948717948718,3.88461538461538
"vm005",4.26592666592667,3.47692307692308,3.94871794871795
"vm006",4.65152625152625,4.71025641025641,4.53846153846154
"vm007",4.0272385022385,3.57307692307692,4.29166666666667
"vm008",4.44551282051282,4.40512820512821,4.52457264957265
"vm009",4.622964997965,4.42179487179487,4.56410256410256
"vm010",4.71853516853517,3.84055944055944,4.1733682983683
"vm011",4.28976393976394,3.96538461538462,4.1025641025641
"vm012",4.06666666666667,4.17074592074592,4.17210567210567
"vm013",4.50421245421245,4.07564102564103,4.61538461538461
"vm014",4.90909645909646,4.67179487179487,4.76923076923077
"vm015",4.73180708180708,4.42435897435897,4.40598290598291
"vm016",4.90430402930403,4.37692307692308,4.29487179487179
"vm017",4.23611111111111,4.28589743589744,4.40064102564103
"vm018",4.06016483516484,4.3016317016317,4.1292735042735
"vm019",3.93821548821549,3.94878787878788,4.04399766899767
"vm020",4.46922059422059,4.24102564102564,4.06944444444444
"vm021",4.11912393162393,4.6551282051282,4.06196581196581
"vm022",4.55230972730973,3.78333333333333,4.38354700854701
"vm023",4.63433048433048,4.26899766899767,5.06410256410256
"vm024",5.16557794057794,4.59615384615385,4.97435897435897
"vm025",4.60977633477633,4.01,4.18541181041181
"vm026",4.54188034188034,4.15641025641026,4.06623931623932
"vm027",4.73038073038073,4.36130536130536,4.86431623931624
"vm028",3.87766585266585,3.61666666666667,4.42307692307692
"vm029",4.88508343508343,5.12435897435897,4.76923076923077
"vm030",5.20357142857143,4.13286713286713,4.48368298368298
"vm031",4.04268648018648,4.13878787878788,4.07799145299145
"vm032",4.20967643467643,3.64067599067599,3.99679487179487
"vm033",4.51171328671329,4.15769230769231,4.06837606837607
"vm034",4.13660968660969,4.34487179487179,3.80769230769231
"vm035",3.94493284493285,4.30792540792541,4.34401709401709
"vm036",4.35304232804233,4.10787878787879,4.24369334369334
"vm037",4.4599358974359,4.02820512820513,4.22542735042735
"vm038",4.0116452991453,4.15512820512821,3.73397435897436
"vm039",4.31367243867244,3.72333333333333,4.21969696969697
"vm040",4.58457653457653,4.02314685314685,4.35042735042735
"vm041",4.02339743589744,3.6,4.125
"vm042",4.72929385429385,4.03717948717949,4.26923076923077
"vm043",4.76920671920672,4.04254079254079,4.39364801864802
"vm044",4.20714285714286,4.23465423465423,4.31196581196581
"vm045",5.09437645687646,5.23461538461538,4.66346153846154
"vm046",5.36847781847782,5.13974358974359,5.41025641025641
"vm047",4.33461538461538,4.16794871794872,4.07264957264957
"vm048",4.43650932400932,4.24871794871795,4.46581196581197
"vm049",4.08290598290598,4.07179487179487,3.74786324786325
"vm050",4.3719696969697,4.11153846153846,4.32264957264957
"vm051",4.6740638990639,3.77878787878788,4.44871794871795
"vm052",4.83600427350427,4.83426573426573,4.88141025641026
"vm053",5.58458208458208,6.28589743589744,5.80769230769231
"vm054",4.54264254264254,3.89102564102564,4.43589743589744
"vm055",5.01926036926037,4.89265734265734,4.55128205128205
"kw1001",5.04811762311762,4.78846153846154,4.76923076923077
"kw1002",5.11171143671144,4.28461538461538,4.59508547008547
"kw1003",4.46580179080179,3.25431235431235,4.32051282051282
"kw1004",5.59411884411884,5.22925407925408,5.29487179487179
"kw1005",4.7732498982499,4.35641025641026,4.64102564102564
"kw1006",4.47812372812373,5.06410256410256,5.05021367521368
"kw1007",4.54909442409442,5.0551282051282,4.8974358974359
"kw1008",4.52131664631665,4.08461538461538,4.53846153846154
"kw1009",4.53912291412291,4.95,4.47435897435897
"kw1010",4.49165649165649,4.52668997668998,4.45299145299145
"kw1011",4.32411477411477,4.10384615384615,4.41132478632479
"kw1012",4.395337995338,4.42181818181818,4.79772727272727
"kw1013",4.02240537240537,4.14685314685315,4.28418803418803
"kw1014",4.51523199023199,4.77435897435897,4.74358974358974
"kw1015",4.92953805453805,4.16025641025641,4.25641025641026
"kw1016",5.1046805046805,5.41305361305361,5.24368686868687
"kw1017",4.38110778110778,4.82692307692308,4.50769230769231
"kw1018",4.07284382284382,3.54820512820513,4.5247668997669
"kw1019",4.93477818477818,4.81666666666667,5.1025641025641
"kw1020",4.77175417175417,4.80769230769231,4.99038461538461
"kw1021",4.38293650793651,4.2604662004662,4.50417637917638
"kw1022",4.74645447145447,4.12435897435897,4.70619658119658
"kw1023",4.82820512820513,4.08974358974359,4.5
"kw1024",4.45530118030118,3.88417249417249,4.29487179487179
"kw1025",4.76546601546602,4.48589743589744,4.71794871794872
"kw1026",4.84368686868687,4.65,4.76052188552189
"kw1027",4.34242424242424,4.67454545454545,4.87707431457431
"kw1028",4.52496392496392,4.42389277389277,4.29273504273504
"kw1029",4.61246438746439,4.60641025641026,4.73076923076923
"kw1030",4.41187886187886,4.69871794871795,4.6025641025641
"kw1031",4.84326923076923,4.27808857808858,4.9965034965035
"kw1032",5.06880341880342,6.02564102564103,4.97008547008547
"kw1033",4.92567155067155,4.77692307692308,4.75641025641026
"kw1034",4.49616402116402,4.74358974358974,4.18269230769231
"kw1035",4.41332741332741,3.70512820512821,4.61538461538462
"kw1036",4.40050505050505,4.02121212121212,4.49893162393162
"kw1037",4.70598290598291,4.12307692307692,4.76923076923077
"kw1038",4.38453675953676,4.39300699300699,4.53846153846154
"kw1039",4.15741758241758,3.98974358974359,4.28418803418803
"kw1040",4.45445665445665,4.1474358974359,4.03846153846154
"kw1041",4.31147741147741,4.15897435897436,4.52777777777778
"kw1042",4.31125356125356,4.3551282051282,4.70512820512821
"kw1043",4.47670292670293,4.57179487179487,4.35897435897436
"kw1044",4.71941391941392,3.95769230769231,4.69230769230769
"kw1045",5.09088504088504,3.79615384615385,4.87179487179487
"kw1046",4.18115588115588,3.70769230769231,4.18162393162393
"kw1047",4.59523809523809,3.95166666666667,4.2520202020202
"kw1048",4.17836792836793,4.11153846153846,4.23076923076923
"kw1049",3.90972222222222,3.40606060606061,3.97222222222222
"kw1050",4.48540903540904,2.27820512820513,4.32051282051282
"kw1051",5.23866503866504,4.2030303030303,4.62820512820513
"kw1052",4.49378306878307,4.20833333333333,4.75145687645688
"kw1053",4.1722323972324,4.1448717948718,4.30769230769231
"kw1054",4.93986568986569,3.98752913752914,4.29487179487179
"kw1055",4.47546805046805,5.17820512820513,5.01048951048951
"kw1056",4.43368945868946,4.26538461538462,4.17948717948718
"kw1057",4.44369981869982,4.84125874125874,4.99465811965812
"kw1058",5.13580586080586,4.7004662004662,4.91346153846154
"kw1059",4.89464794464794,4.36666666666667,4.56730769230769
"kw1060",4.76678876678877,3.52960372960373,4.63568376068376
"kw1061",4.44314204314204,4.11153846153846,4.54273504273504
"kw1062",4.52920227920228,4.33594405594406,4.3215811965812
"kw1063",4.29771062271062,4.27773892773893,4.05128205128205
"kw1064",4.90009157509158,4.29230769230769,4.82051282051282
"kw1065",4.00566378066378,3.16142191142191,4.72222222222222
"kw1066",4.27603692603693,4.17717948717949,4.2972027972028
"kw1067",4.37698412698413,4.09666666666667,4.21247733747734
"kw1068",4.34148166648167,3.93648018648019,4.16132478632479
"kw1069",5.43505291005291,4.50361305361305,5.04700854700855
"kw1070",5.24379324379324,4.3051282051282,4.70512820512821
"kw1071",4.51590354090354,4.23729603729604,4.46153846153846
"kw1072",4.82832722832723,3.697668997669,4.94017094017094
"kw1073",4.58520553520554,3.83543123543124,3.88461538461538
"kw1074",4.72832722832723,4.33146853146853,4.79487179487179
"kw1075",4.52222222222222,4.27307692307692,4.27039627039627
"kw1076",4.73566341066341,5.03484848484849,4.48931623931624
"kw1077",4.49002849002849,3.77948717948718,4.43589743589744
"kw1078",5.63696581196581,6.1948717948718,5.65384615384615
"kw1079",4.73565323565324,4.06666666666667,4.41025641025641
"kw1080",4.42686202686203,3.72878787878788,4.34722222222222
"kw1081",4.56231176231176,3.92820512820513,4.48717948717949
"kw1082",4.86186868686869,4.45104895104895,4.80769230769231
"kw1083",4.41836589336589,3.98822843822844,3.8974358974359
"kw1084",4.45582010582011,4.26909090909091,4.44877344877345
"kw1085",4.75964590964591,4.77435897435897,4.83333333333333
"kw1086",4.98937728937729,4.55641025641026,5
"kw1087",3.8526862026862,4.08461538461538,4.05128205128205
"kw1088",4.50469437969438,4.18606060606061,4.61344211344211
"kw1089",4.53536556036556,4.64612554112554,4.92003367003367
"kw1090",4.62436914936915,4.21025641025641,4.33333333333333
"kw1091",5.73021978021978,4.60641025641026,4.21794871794872
"kw1092",4.60235042735043,4.41153846153846,4.70512820512821
"kw1093",4.26319698819699,3.88717948717949,4.73076923076923
"kw1094",4.82995522995523,4.35128205128205,4.71794871794872
"kw1095",4.67791005291005,4.63205128205128,4.78205128205128
"kw1096",4.62956487956488,3.90874125874126,4.45833333333333
"kw1097",4.11572039072039,3.78717948717949,4.21794871794872
"kw1098",4.40966625966626,3.73461538461538,4.26107226107226
"kw1099",4.30991045991046,3.94615384615385,4.42307692307692
"kw1100",4.61916971916972,3.95641025641026,4.53146853146853
"kw1101",4.02548562548563,4.03671328671329,4.37179487179487
"kw1102",4.61748066748067,4.52179487179487,4.51282051282051
"kw1103",4.71932234432234,4.55769230769231,4.71688034188034
"kw1104",5.11482036482036,4.56177156177156,4.47435897435897
"kw1105",4.5258547008547,4.07948717948718,4.42307692307692
"kw1106",4.74611314611315,5.22237762237762,5.11538461538461
"kw1107",4.66960724460724,4.06282051282051,4.6025641025641
"kw1108",4.98281440781441,4.2446386946387,4.48290598290598
"kw1109",4.19850427350427,3.9974358974359,4.01282051282051
"kw1110",3.71518111518112,3.67948717948718,3.80769230769231
"kw1111",4.68721001221001,4.77051282051282,5.13034188034188
"kw1112",4.40562678062678,3.96596736596737,4.28098290598291
"kw1113",4.92456247456247,4.41608391608392,4.84615384615385
"kw1114",3.84386724386724,4.27948717948718,4.39850427350427
"kw1115",4.32269027269027,4.51153846153846,4.46474358974359
"kw1116",5.20373977873978,4.29487179487179,5.0990675990676
"kw1117",4.24241961741962,3.77564102564103,4.25641025641026
"kw1118",4.6793956043956,3.84358974358974,4.28205128205128
"kw1119",4.1775234025234,2.93333333333333,4.26923076923077
"kw1120",4.63270803270803,4.61025641025641,4.79487179487179
"kw1121",4.23898601398601,4.01655011655012,4.09175084175084
"kw1122",4.46379731379731,4.07062937062937,4.44871794871795
"kw1123",4.61275946275946,4.23461538461538,4.14102564102564
"kw1124",4.61675824175824,4.09230769230769,4.55128205128205
"kw1125",5.49510582010582,4.41923076923077,4.87179487179487
"kw1126",4.83155270655271,4.27878787878788,4.86923076923077
"kw1127",4.20132275132275,4.11013986013986,4.07371794871795
"kw1128",4.75855718355718,4.16923076923077,5.06410256410256
"kw1129",4.76450956450956,4.28589743589744,4.69230769230769
"kw1130",4.6014245014245,4.4025641025641,4.74358974358974
"kw1131",4.60229955229955,4.1974358974359,4.43589743589744
"kw1132",5.05766178266178,4.71153846153846,4.52564102564103
"kw1133",3.68903133903134,3.37948717948718,3.98717948717949
"kw1134",4.11298331298331,3.78846153846154,4.41025641025641
"kw1135",3.96120268620269,3.41666666666667,3.6025641025641
"kw1136",4.11764346764347,4.27668997668998,4.5
"kw1137",3.60226902726903,3.80631313131313,4.30314685314685
"kw1138",4.85907610907611,4.81025641025641,4.76923076923077
"kw1139",4.0515096015096,3.79312354312354,4.32051282051282
"kw1140",4.37633292633293,4.60769230769231,4.35897435897436
"kw1141",4.725814000814,4.00641025641026,4.20512820512821
"kw1142",4.89864672364672,4.11923076923077,4.48717948717949
"kw1143",4.525814000814,4.13205128205128,4.29487179487179
"kw1144",4.14372201872202,4.04638694638695,4.1021756021756
"kw1145",4.47078754578755,4.10641025641026,4.66666666666667
"kw1146",4.32303992303992,3.94848484848485,4.37179487179487
"kw1147",4.52929385429385,4.8983682983683,4.58032245532246
"kw1148",5.25546398046398,4.12435897435897,4.51282051282051
"kw1149",4.36230158730159,4.0979020979021,3.96697746697747
"kw1150",4.67285307285307,4.91923076923077,4.66666666666667
"kw1151",4.55429292929293,4.27960372960373,4.45833333333333
"kw1152",4.56138583638584,3.56153846153846,4.35897435897436
"kw1153",4.30888278388278,3.93076923076923,4.26923076923077
"kw1154",4.52356532356532,4.42435897435897,4.33333333333333
"kw1155",4.347557997558,4.78974358974359,5.03846153846154
"kw1156",4.22683427683428,4.26025641025641,4.38098290598291
"kw1157",4.02529507529507,3.91736596736597,4.37179487179487
"kw1158",4.54238909238909,4.22680652680653,4.57905982905983
"kw1159",4.59278591778592,4.26923076923077,4.38888888888889
"kw1160",4.29203296703297,4.17692307692308,4.79487179487179
"kw1161",4.0246336996337,4.23694638694639,4.4241452991453
"kw1162",4.61962759462759,4.48146853146853,4.58974358974359
"kw1163",4.27317867317867,3.75,4.57692307692308
"kw1164",4.16900691900692,3.88333333333333,4.66666666666667
"kw1165",4.60974765974766,4.2974358974359,4.48717948717949
"kw1166",4.6496743996744,4.44487179487179,4.54059829059829
"kw1167",5.15758547008547,4.94393939393939,5.06235431235431
"kw1168",4.21098901098901,4.10384615384615,4.66987179487179
