"","act","fru","app","attfoc","attshi","attcon","dis","sth","fea","hip","imp","inh","lip","per","sad","shy","smi"
"fs2001",6.53846153846154,6.15384615384615,6.76923076923077,2.66666666666667,3.4,2.92857142857143,4.91666666666667,3.46153846153846,4.33333333333333,6.30769230769231,6.46153846153846,4.07692307692308,4.46153846153846,6,5.83333333333333,1.23076923076923,5.76923076923077
"fs2002",4.53846153846154,2.84615384615385,5.30769230769231,5.11111111111111,5.6,5.28571428571429,3.08333333333333,5.53846153846154,3.5,4.30769230769231,5,6.07692307692308,5.46153846153846,5.41666666666667,2.91666666666667,2.15384615384615,6
"fs2003",5.23076923076923,4.30769230769231,5.69230769230769,4,3.8,3.92857142857143,4.41666666666667,4.38461538461539,4.83333333333333,5.07692307692308,4.61538461538461,3.69230769230769,5.07692307692308,4.66666666666667,4.66666666666667,3.53846153846154,4.92307692307692
"fs2004",4.23076923076923,5.07692307692308,6.07692307692308,5.11111111111111,4.4,4.85714285714286,4.66666666666667,3.38461538461538,3.33333333333333,5.92307692307692,5.15384615384615,4.30769230769231,5.84615384615385,6.18181818181818,5.25,2.76923076923077,4.61538461538461
"fs2005",4.69230769230769,3.92307692307692,4.76923076923077,4.77777777777778,4.8,4.78571428571429,4.36363636363636,5.07692307692308,4.5,5,4.30769230769231,4.30769230769231,3.76923076923077,4.33333333333333,3.66666666666667,2.92307692307692,5.23076923076923
"fs2006",3.30769230769231,4.46153846153846,4.53846153846154,5.66666666666667,5.8,5.71428571428571,4.16666666666667,6.30769230769231,3,4.15384615384615,3.92307692307692,4.5,5.61538461538461,5.5,4.41666666666667,6.30769230769231,5.07692307692308
"fs2007",4.84615384615385,3.38461538461538,5.92307692307692,5.77777777777778,5.2,5.57142857142857,4.25,4.76923076923077,4.41666666666667,5.15384615384615,4.30769230769231,5.84615384615385,6,5.58333333333333,4.83333333333333,3.84615384615385,6
"fs2008",4.69230769230769,5.07692307692308,6.30769230769231,4.22222222222222,2.4,3.57142857142857,4.25,2.84615384615385,5.25,5.61538461538461,4.61538461538461,3.92307692307692,4.92307692307692,5.16666666666667,5,4.76923076923077,4.46153846153846
"fs2009",4.84615384615385,4.07692307692308,4.92307692307692,3.88888888888889,3.8,3.85714285714286,4.16666666666667,4.69230769230769,3.75,5.15384615384615,4.38461538461539,4.69230769230769,4.92307692307692,4.58333333333333,3.41666666666667,2.30769230769231,5.30769230769231
"fs2010",4.92307692307692,5.76923076923077,5.69230769230769,4.33333333333333,4,4.21428571428571,4.66666666666667,3.76923076923077,4.5,4.23076923076923,4.38461538461539,4.53846153846154,4.76923076923077,6.41666666666667,4.5,4.30769230769231,5.76923076923077
"fs2011",6.30769230769231,4.61538461538461,5.83333333333333,4.55555555555556,5,4.71428571428571,3,4.38461538461539,3.16666666666667,6.38461538461539,5.84615384615385,5.07692307692308,5.38461538461539,5.5,4.75,2.61538461538462,6.15384615384615
"fs2012",4.15384615384615,5.07692307692308,6.15384615384615,4.33333333333333,3,3.85714285714286,5,4.46153846153846,4.08333333333333,6.30769230769231,4.38461538461539,4.46153846153846,6.33333333333333,5.08333333333333,5.75,6.07692307692308,4.30769230769231
"fs2013",4.15384615384615,4.23076923076923,4.92307692307692,3.66666666666667,3.6,3.64285714285714,5,4.84615384615385,4.33333333333333,3.69230769230769,4.61538461538461,5,4.15384615384615,4.91666666666667,3.41666666666667,4.76923076923077,4.15384615384615
