"","identificador","id","escuela","grupo","edad","sexo","X"
"fs2001","fs2001","aev2001",1,1,7,1,2
"fs2002","fs2002","mgm2002",1,1,6,2,5
"fs2003","fs2003","apla2003",1,1,7,1,5
"fs2004","fs2004","azvs2004",1,1,7,1,2
"fs2005","fs2005","aabl2005",1,1,7,2,5
"fs2006","fs2006","lege2006",1,1,6,2,7
"fs2007","fs2007","idtr2007",1,1,6,2,5
"fs2008","fs2008","jnbv2008",1,1,6,1,7
"fs2009","fs2009","jos2009",1,1,7,2,5
"fs2010","fs2010","egnb2010",1,1,6,1,NA
"fs2011","fs2011","asa2011",1,1,7,2,NA
"fs2012","fs2012","cnss2012",1,1,6,2,NA
"fs2013","fs2013","fssj2013",1,1,6,1,NA
"fs2014","fs2014","ircg2014",1,1,7,1,NA
"fs2015","fs2015","xsp2015",1,1,7,1,NA
"fs2016","fs2016","agoh2016",1,1,7,1,NA
"fs2017","fs2017","eogta2017",1,1,6,1,NA
"fs2018","fs2018","tavt2018",2,2,6,1,NA
"fs2019","fs2019","fnmp2019",2,2,8,1,NA
"fs2020","fs2020","axld2020",2,2,6,1,NA
"fs2021","fs2021","vmmc2021",2,2,6,2,NA
"fs2022","fs2022","aoc2022",2,3,6,2,NA
"fs2023","fs2023","fsla2023",2,3,6,2,NA
"fs2024","fs2024","kevh2024",2,3,6,2,NA
"fs2025","fs2025","aizc2025",2,3,7,1,NA
"fs2026","fs2026","aasr2026",2,3,7,1,NA
"fs2027","fs2027","rasr2027",2,3,7,1,NA
"fs2028","fs2028","mj2028",2,3,6,2,NA
"fs2029","fs2029","agsf2029",2,3,6,2,NA
"fs2030","fs2030","agbas2030",2,3,7,1,NA
"fs2031","fs2031","batn2031",2,4,6,1,NA
"fs2032","fs2032","mpcp2032",2,4,7,1,NA
"fs2033","fs2033","xytj2033",2,4,6,1,NA
"fs2034","fs2034","rcb2034",2,4,7,1,NA
"fs2035","fs2035","efnv2035",2,4,7,2,NA
"fs2036","fs2036","aecl2036",2,4,6,2,NA
